word,synonym,description
"나이키스트 정리, -定理, Nyquist theorem",,"디지털 전송에서 부호 간 간섭을 없애는 조건으로 입력 신호의 최고 주파수 fm의 2배 이상의 주파수, 즉 2fm 이상의 주파수에서 표본화하면 원신호를 충실하게 재현할 수 있다는 정리. 이에 비해서 2fm 이하에서 표본화하는 것을 서브나이키스트 표본화(sub-Nyquist sampling)라고 한다. 나이키스트라는 명칭은 1920~1930년대에 전송 신호의 표본화 등에 관한 연구 논문을 발표한 미국 벨 전화 연구소의 H. 나이키스트(1889~1976)의 이름을 따서 붙인 것이다."
"나이키스트 주파수, -周波數, Nyquist frequency",,"t0 간격의 펄스를 이상 필터에 통과시켜 수신 펄스의 피크값으로 식별 재생하면 부호 간에 간섭이 없는 전송을 할 수 있는데, 이 경우 부호 속도는 1초당 1/t0로 이때의 소요 주파수 대역 0/1/2t0(Hz)의 1/2t0. t0는 주파수 대역이 0/W(Hz)인 이상 필터에 단위 함수파를 가했을 때의 출력 파형의 상승 시간으로 1/2W이다."
"나이키스트 파형, -波形, Nyquist waveform",,"부호 간 간섭을 없애는 나이키스트 정리의 조건을 만족시키는 펄스 파형. 디지털 전송에서 반송파를 펄스로 변조해서 얻어지는 디지털 변조파의 대역을 제한하면 펄스 파형의 모양이 바뀌어 연속되는 부호 간의 간섭이 일어난다. 그러나 디지털 전송에서는 1부호의 표본점(sampling point)에서만 정보를 판정하므로, 표본점에서 전/후의 신호로부터의 간섭만 없으면 오류는 발생하지 않는다. 부호 간 간섭을 없애는 나이키스트 정리(定理)의 조건을 만족시키는 펄스 파형은 중심의 표본점에서는 진폭이 각 전송 펄스가 나이키스트 파형이 되면 어떤 전송 펄스의 중심에서는 다른 펄스의 영향은 전혀 나타나지 않게 된다."
"나이키스트 표본화 속도, -標本化速度, Nyquist sampling rate",,디지털 전송에서 부호 간 간섭을 없애기 위하여 입력 신호의 최고 주파수 fm의 2배 이상의 주파수에서 표본화하여 원신호를 충실하게 재현함으로써 디지털 부호(1과 0)를 전달하는 속도.
"나이키스트 필터, Nyquist filter",,텔레비전 채널 대역에 포함되지 않는 신호의 간섭으로부터 원하는 텔레비전 채널을 분리하기 위하여 사용하는 필터. 보통 텔레비전 수신기의 중간 주파수(IF)단에서 사용되며 무선 주파수(RF)단에서 제거하지 못한 간섭을 없앤다.
"나이키스트 한계, -限界, Nyquist limit",,"나이키스트의 정리에서, 정확하게 표본화할 수 있는 입력 신호의 최고 주파수. 표본화 주파수의 2분의 1과 같다."
"나침반 방위, 羅針盤方位, compass azimuth, compass bearing",,나침반의 자침이 가리키는 북쪽을 기준으로 한 방위. 나침반 방위＝자침 방위-자기 편차(磁氣偏差).
"나침반 방향, 羅針盤方向, compass course",,자기(磁氣) 나침반이 지시하는 북쪽을 기준으로 한 방향.
"나타스, NATAS",,"신종 컴퓨터 바이러스의 한 종류. 기존 바이러스들이 컴퓨터를 처음 작동(부팅)할 때나 파일을 설치할 때 중 어느 한 경우에만 피해를 주는 것과는 달리 나타스 바이러스는 메모리, 부트, 파일 영역 등에 상주하면서 어떤 경우에서든지 발생하는 치료도 어려운 바이러스로, 완전히 치료되지 않으면 곧바로 재감염된다."
"나트, natural unit of information content, nat",,"자연 로그 e로 표현된 정보 측정량의 단위. 예를 들면, 여덟 문자로 되는 문자 집합의 선택 정보량은 loge8＝3 loge2＝2.079나트와 같다."
