word,synonym,description
"칼스, Commerce At the Light Speed, CALS",,"조달에서 설계, 개발, 생산, 운용, 유지 보수에 이르는 제품의 수명 주기를 통해 서류, 도면, 거래 등 모든 기술 정보 등을 통합 데이터베이스로 관리하고 지원하는 시스템. 1985년 미국 국방부에서 컴퓨터를 이용하여 군수 물자와 기술의 흐름을 합리적으로 통제하여 군수품 납품 체계를 개선할 목적으로 시작했다. 이때의 칼스(CALS)는 컴퓨터 지원 군수 지원 체계(computer aided logistics support)라는 개념이었다. 1990년대 초에 CALS의 의미가 ‘지속적 획득 및 수명주기 지원 체계(continuous acquisition and life-cycle support)’로 바뀌었으며, 이어서 1995년을 전후하여 ‘광속 상거래’이라는 개념으로 CALS의 방향을 재정립하였다. 미국에서는 1990년부터 보잉(Boeing) 등 항공기 제작사, GM 등 자동차 제조업체, 미국국립항공우주국(NASA) 등에서 적극적으로 CALS를 도입하였고, 국내에서는 삼성 항공, LG 화학 등에서 CALS 표준에 의한 설계 관리 또는 문서 교환 관리 시스템 등을 1992년부터 도입하여 사용하였다."
"칼스 산업 조정 그룹, -産業調整-, CALS Industry Steering Group, CALS-ISG",,"미국 산업계의 칼스(CALS: Commerce at Light Speed) 추진 그룹. 국방부, 업계, 학회, 전문가들이 함께 업체의 활동을 지원하며, 국방부와 함께 칼스 표준과 기술 개발 및 검사에 참가하여 획득과 투자, 정책 수정에 대하여 건의하는 역할을 한다."
"칼스 시험망, -試驗網, CALS test network, CALS-CTN",,"칼스(CALS) 표준을 전시하고 시험하는 데 동의한 국가와 산업 기관의 연합. OSD(Office of the Secretary of Defense)에 의해 만들어졌으며, 칼스 표준을 사용하는 디지털 기술 정보의 교환과 기능적인 사용을 위한 시험/평가/전시에 목적이 있다. 이러한 활동은 미국 국방부에 의해 이루어지고 있다."
"칼슨 방식, -方式, Kalson system",,"시외 전화 요금을 거리별로 단위 요금(시내 요금과 같다)에 상당하는 시간으로 구별하는 것을 칼슨 요금제라 하는데, 이것을 도수계에 이용하여 복수 등산하는 방식. 이 방식에 따르면 먼 곳일수록 짧은 시간이 단위 요금이 된다."
"칼코지나이드, Chalcogenide",,"주기율표 6족의 황, 셀레늄, 텔레늄 등이 포함되는 이원계 이상의 화합물 소재. 전기ㆍ열ㆍ빛 에너지 등의 외부 자극에 의해 비정질과 결정질 상태 간에 광학적ㆍ전기적 스위칭 현상을 나타내는 성질을 가지고 있다. 따라서 광 및 전기 스위칭을 이용한 반도체 산업, 포토닉 크리스털 등의 광소자 응용 산업, 의료 산업, 정보 산업 등 광범위하게 사용되고 있으며 신재생 에너지 산업에도 활용 가능하다."
"캐나다 라디오 텔레비전 전기 통신 위원회, -電氣通信委員會, Canada Radio-Television and Telecommunications Commission, CRTC",,"방송과 전기 통신을 규제하고 감독하는 캐나다 연방 정부의 중앙 행정 기관의 하나. 9명의 상임 위원과 10명의 비상임 위원으로 구성되며, 방송/전기 통신 관련 규정을 제정하고 사업 면허를 발급하며 사업자를 감독한다. 미국 연방 통신 위원회(FCC)와 조직과 기능이 유사하다."
"캐나다 표준 협회, -標準協會, Canadian Standards Association, CSA",,캐나다 국내 표준화의 최고 기관인 캐나다 표준화 위원회(SCC)의 위임을 받아 캐나다의 국가 표준을 제정하는 기관. 1919년에 설립되었으며 본부는 토론토에 있다.
"캐나다 표준화 위원회, -標準化委員會, Standards Council of Canada, SCC",,"1970년에 설치된 캐나다의 표준화 기관. 캐나다 표준화 협회(CSA), 캐나다 전기 통신 표준 자문 위원회(TSACC) 등 업계 단체, 학술 단체 또는 전문 단체에 표준안을 심의/의결하여 캐나다 국가 규격(CAN)을 제정한다. SCC는 캐나다를 대표하여 국제 표준 기구의 가맹 회원으로 활동하며, ISO/IEC JTC 1의 SC 7, SC 22 등 분과 위원회의 간사국으로서 업무를 담당하고 있다."
"캐럿, caret",,"일반적으로 마이크로컴퓨터 키보드의 맨 윗줄의 숫자 6키의 숫자 위에 표시되어 있는 삿갓 모양(^)의 작은 기호. 일부 프로그래밍 언어에서 지수 연산자(exponentiation operator)로 사용된다. 예를 들어, ‘3^2’라는 수식은 32, 즉 3의 2제곱을 의미한다. 키보드에 있는 컨트롤 키를 표시하는 경우에도 사용된다. 예를 들어, ‘^Z’는 ‘컨트롤 키를 누르고 문자 Z키를 누르시오’라는 의미가 된다."
"캐리어 이더넷, Carrier Ethernet",,"도시권 통신망(MAN: Metropolitan Area Network)을 위한 고속 이더넷. 기존의 인터넷 접속 이더넷에서부터 무선망까지 수용할 뿐만 아니라 기존 동기식 광통신망/동기 디지털 계위(SONET/SDH: Synchronous Optical Network/Synchronous Digital Hierarchy) 망을 대신하고 유비쿼터스 이더넷 기술을 사용하는 10Gbps 이상의 광역 통신망(WAN: Wide Area Network) 으로 확대되는 이더넷이다. 주로 랜(LAN: Local Area Network)에서 사용되던 이더넷 기술을 MAN, 또는 WAN 영역까지 적용하는 기술이다. 이더넷의 강점인 단순성, 저비용, 계층성 등을 MAN과 WAN 액세스에 적용하고, 궁극적으로 단대단 전 이더넷(end-to-end all-ethernet) WAN 구조까지 확장하는 것을 목표로 한다. 기존의 랜(LAN) 이더넷과 차별화를 위해 표준화된 서비스, 규모성, 서비스 관리, 신뢰성, 서비스 품질(QoS: Quality of Service) 등을 정의한다."
